reviewer_score,id
8.734000000000002,488440
7.432999999999993,274649
8.549999999999997,374688
9.656000000000008,404352
9.694000000000003,451596
9.001000000000001,302161
7.163999999999999,317079
7.804000000000001,13963
8.485999999999999,159785
7.74,195089
9.542000000000003,477589
8.865999999999998,456271
9.230000000000004,306957
8.582999999999997,297671
8.420000000000002,484684
9.811000000000005,393417
6.285999999999999,26857
9.126000000000001,143179
5.263999999999999,252030
9.275,412476
8.068000000000003,487471
9.074000000000002,297338
8.729,155485
9.047000000000002,139350
9.694000000000003,208575
7.679999999999995,137832
8.444,443337
9.307000000000002,44836
8.211999999999996,173140
5.553,271298
9.487999999999998,282731
9.577000000000005,384147
9.23,218440
8.757,74628
7.170999999999997,165488
8.670000000000005,500250
6.650000000000002,381342
9.495000000000001,237106
9.237000000000004,445571
8.38,192798
9.245000000000006,448671
9.597000000000003,389848
9.657000000000004,329826
5.411999999999999,69182
9.593000000000004,217075
9.557000000000002,449013
7.147000000000003,389549
9.662,92878
9.53,499600
9.855000000000002,502085
7.773999999999998,327860
7.952999999999998,126833
7.559000000000002,182756
6.026,227128
7.688999999999997,84023
8.806000000000004,164152
8.286999999999992,56331
8.928000000000003,143658
7.3389999999999995,172779
7.193999999999996,345883
8.997000000000002,55704
8.911999999999999,369659
9.014000000000003,353206
8.943000000000001,331492
8.636000000000001,184180
8.913,297611
4.786000000000002,206684
9.714,59374
6.465,79519
9.574000000000007,20433
9.102000000000002,247070
8.747999999999998,268739
9.664000000000005,407280
9.589,40338
9.343000000000002,386764
7.239999999999998,136283
9.667000000000009,399577
9.296000000000003,293596
8.353999999999992,238963
5.854999999999999,376148
8.935,292946
5.859999999999998,68726
8.432000000000002,236810
9.389000000000003,483917
9.285000000000002,288399
9.165000000000003,135209
7.886999999999997,227160
8.810000000000002,165503
8.228000000000002,282419
8.797000000000002,337832
8.825999999999999,100085
8.577999999999992,80546
9.359000000000002,7068
7.468999999999995,18307
7.910999999999999,143484
9.04,431293
7.418999999999998,195313
9.720000000000004,386336
8.394000000000004,278451
9.323999999999996,515171
6.0329999999999995,503022
8.864000000000003,226269
9.082999999999998,174839
8.709999999999997,306061
8.986,316140
8.571000000000003,448684
